Date,Open,High,Low,Close,AdjClose,Volume
16-08-2022,172.779999,173.710007,171.660004,173.029999,172.009567,56377100
17-08-2022,172.770004,176.149994,172.570007,174.550003,173.520615,79542000
18-08-2022,173.75,174.899994,173.119995,174.149994,173.122955,62290100
19-08-2022,173.029999,173.740005,171.309998,171.520004,170.508469,70346300
22-08-2022,169.690002,169.860001,167.139999,167.570007,166.581787,69026800
23-08-2022,167.080002,168.710007,166.649994,167.229996,166.24379,54147100
24-08-2022,167.320007,168.110001,166.25,167.529999,166.542007,53841500
25-08-2022,168.779999,170.139999,168.350006,170.029999,169.027267,51218200
26-08-2022,170.570007,171.050003,163.559998,163.619995,162.655045,78961000
29-08-2022,161.149994,162.899994,159.820007,161.380005,160.428284,73314000
30-08-2022,162.130005,162.559998,157.720001,158.910004,157.972855,77906200
31-08-2022,160.309998,160.580002,157.139999,157.220001,156.292801,87991100
01-09-2022,156.639999,158.419998,154.669998,157.960007,157.028458,74229900
02-09-2022,159.75,160.360001,154.970001,155.809998,154.891113,76957800
06-09-2022,156.470001,157.089996,153.690002,154.529999,153.618683,73714800
07-09-2022,154.820007,156.669998,153.610001,155.960007,155.040237,87449600
08-09-2022,154.639999,156.360001,152.679993,154.460007,153.549103,84923800
09-09-2022,155.470001,157.820007,154.75,157.369995,156.441925,68028800
12-09-2022,159.589996,164.259995,159.300003,163.429993,162.466171,104956000
13-09-2022,159.899994,160.539993,153.369995,153.839996,152.932739,122656600
14-09-2022,154.789993,157.100006,153.610001,155.309998,154.394058,87965400
15-09-2022,154.649994,155.240005,151.380005,152.369995,151.471405,90481100
16-09-2022,151.210007,151.350006,148.369995,150.699997,149.811264,162278800
19-09-2022,149.309998,154.559998,149.100006,154.479996,153.568954,81474200
20-09-2022,153.399994,158.080002,153.080002,156.899994,155.974701,107689800
21-09-2022,157.339996,158.740005,153.600006,153.720001,152.813446,101696800
22-09-2022,152.380005,154.470001,150.910004,152.740005,151.839218,86652500
23-09-2022,151.190002,151.470001,148.559998,150.429993,149.542847,96029900
26-09-2022,149.660004,153.770004,149.639999,150.770004,149.880844,93339400
27-09-2022,152.740005,154.720001,149.949997,151.759995,150.865021,84442700
28-09-2022,147.639999,150.639999,144.839996,149.839996,148.956329,146691400
29-09-2022,146.100006,146.720001,140.679993,142.479996,141.63974,128138200
30-09-2022,141.279999,143.100006,138,138.199997,137.384964,124925300
03-10-2022,138.210007,143.070007,137.690002,142.449997,141.609909,114311700
04-10-2022,145.029999,146.220001,144.259995,146.100006,145.238388,87830100
05-10-2022,144.070007,147.380005,143.009995,146.399994,145.536606,79471000
06-10-2022,145.809998,147.539993,145.220001,145.429993,144.572342,68402200
07-10-2022,142.539993,143.100006,139.449997,140.089996,139.263824,85925600
10-10-2022,140.419998,141.889999,138.570007,140.419998,139.591873,74899000
11-10-2022,139.899994,141.350006,138.220001,138.979996,138.160385,77033700
12-10-2022,139.130005,140.360001,138.160004,138.339996,137.524139,70433700
13-10-2022,134.990005,143.589996,134.369995,142.990005,142.146729,113224000
14-10-2022,144.309998,144.520004,138.190002,138.380005,137.563919,88598000
17-10-2022,141.070007,142.899994,140.270004,142.410004,141.57016,85250900
